Name,lat,long,icon
Canberra,-35.28282,149.12782,capital
Sydney,-33.85498,151.21348,city
Broken Hill,-31.9605303,141.4579038,city
Adelaide,-34.92165,138.5974,city
Cook,-30.6130764,130.413374,city
Kalgoorlie,-30.7464139,121.473223,city
Perth,-31.95159,115.861,city
Fremantle,-32.05204,115.74508,city
Margaret River,-33.95365,115.07694,city
Yulara,-25.24201,130.98554,city
Uluru,-25.35534,131.03398,unesco
Kata Tjuta,-25.30023,130.72406,unesco
Alice Springs,-23.69816,133.8814,city
Melbourne,-37.81659,144.951,city
Tamworth,-31.09185,150.93098,city
Byron Bay,-28.64329,153.61408,city
Coolangatta,-28.16855,153.53868,city
Goulburn,-34.7523871,149.7198009,city
South Durras,-35.66583,150.29986,city
Batemans Bay,-35.7072183,150.178289,city
Broulee,-35.8483333,150.1677778,city
Merimbula,-36.8882027,149.909846,city
Nowra,-34.8741198,150.6004709,city
Kangaroo Valley,,,viewpoint
Paris,48.8565056,2.3521334,capital
Edinburgh,55.94822,-3.1934,capital
Falkirk,55.997286,-3.7868533,city
Stirling,56.1181242,-3.9360012,city
Oban,56.415157,-5.471047,city
Fort William,56.819817,-5.105218,city
Broadford,57.242378,-5.913865,city
Ullapool,57.89784,-5.15866,city
Durness,58.568414,-4.747103,city
John o'Groats,58.64336,-3.06883,city
Wick,58.4384988,-3.0884177,castle
Inverness,57.477773,-4.224721,city
Aberdeen,57.149717,-2.094278,city
Saint Andrews,56.339316,-2.7965,
Dufftown,57.443623,-3.12838,distillery
Glasgow,55.85978,-4.24039,city
Tallisker,57.30313160166475,-6.35708212852478,distillery
The Storr,57.507017313689936,-6.182041168212891,viewpoint
Braemar Castle,57.0070229,-3.3985651,castle
Lima,-12.06338,-77.03379,capital
Arequipa,-16.409047,-71.537451,
Colca Canyon,-15.609329,-72.089623,viewpoint
Cusco,-13.53195,-71.967463,city
Pulcalpa,-8.392862,-74.582617,city
Iquitos,-3.743673,-73.251633,city
Wellington,,,capital
Auckland,,,city
Los Angeles,34.052234,-118.243685,city
Honalulu,21.306944,-157.858333,city
Kahului,20.894722,-156.47,city
Kailua-Kona,19.639994,-155.996926,city
Hilo,19.729722,-155.09,city
Lihue,21.981111,-159.371111,city
Volcano,,,city
Volcano National Park,,,np
Kailua,,,lodge
Pearl Harbour,,,viewpoint
Hana,,,city
Lahaina,,,city
Wailuku,,,city
Kealakekua,,,np
Tokyo,35.68095,139.76692,capital
Hakone,35.232355,139.106937,city
Nikkō,36.74729,139.62242,unesco
Kyoto,35.011636,135.768029,unesco
Osaka,34.6852929,135.5146944,city
Himeji,34.8160532,134.6854525,unesco
Hiroshima,34.385203,132.455293,unesco
Miyajima,34.301569,132.322683,unesco
Nara,34.68044,135.8188,unesco
Cebu city,10.3090298,123.8930839,city
Tagbilaran,9.649661685670587,123.84956359863281,city
Tarsier Sanctuary,9.700052194555646,123.93726110458374,viewpoint
Chocolate Hills,9.832287842682158,124.19391095638274,unesco
Loboc,9.6364434,124.0318967,city
Gemas,2.579964,102.611682,city
Malacca,2.192503,102.250099,city
Kuala Lumpur,3.1570976,101.7009528,capital
Kota Bharu,6.11842,102.20070,city
Tanah Rata,4.470820,101.378920,city
Ipoh,4.61175,101.113506,city
